index,title,keywords,cast,director,Img_links,Synopsys
793,The Flintstones in Viva Rock Vegas,waitress marriage proposal flirt stone age best friend,Mark Addy Stephen Baldwin Kristen Johnston Jane Krakowski Joan Collins,Brian Levant,"https://m.media-amazon.com/images/M/MV5BNTUzYzQzMGQtNTYyNS00NmUzLThmZmUtMmIyNjQzNDU4YWYwXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In this live-action prequel to the 1994 comedy hit, the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma is pursued by playboy Chip Rockefeller."
794,Rambo III,competition submachine gun soviet union liberation russian,Sylvester Stallone Richard Crenna Kurtwood Smith Spiros Foc\u00e1s Sasson Gabai,Peter MacDonald,"https://m.media-amazon.com/images/M/MV5BOTIwNWJhZDItZmNmOC00M2NkLWIwNDktMTYwZWFlZDVkMmVkL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Rambo mounts a one-man mission to rescue his friend Colonel Trautman from the clutches of the formidable invading Soviet forces in Afghanistan.
795,Leatherheads,american football sports team stadium hero success,George Clooney Ren\u00e9e Zellweger John Krasinski Wayne Duvall Stephen Root,George Clooney,"https://m.media-amazon.com/images/M/MV5BMjU1OTEyMzQxNV5BMl5BanBnXkFtZTcwMDU3NTg1MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In 1925, an enterprising pro football player convinces America's too-good-to-be-true college football hero to play for his team and keep the league from going under."
796,The Ridiculous 6,wild west,Adam Sandler Taylor Lautner Steve Buscemi Terry Crews Danny Trejo,Frank Coraci,"https://m.media-amazon.com/images/M/MV5BMTY4NzMxMjUwOF5BMl5BanBnXkFtZTgwMDk1ODMxNzE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward, deadbeat dad."
797,Did You Hear About the Morgans?,witness protection comedy duringcreditsstinger,Hugh Grant Sarah Jessica Parker Mary Steenburgen Sam Elliott Natalia Klimas,Marc Lawrence,"https://m.media-amazon.com/images/M/MV5BMjUzMDY0NDYzN15BMl5BanBnXkFtZTcwNjgxMDI5Mg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In New York City, an estranged couple who witness a murder are relocated to small town Wyoming as part of the Witness Protection Program."
798,The Internship,job interview loss of job intern reference to google new job,Owen Wilson Vince Vaughn Rose Byrne Max Minghella Aasif Mandvi,Shawn Levy,"https://m.media-amazon.com/images/M/MV5BMjM1MzczMDgwOV5BMl5BanBnXkFtZTcwMDM4NjM2OQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment."
799,Resident Evil: Afterlife,post-apocalyptic dystopia undead biohazard evil corporation,Milla Jovovich Wentworth Miller Ali Larter Kim Coates Kacey Clarke,Paul W.S. Anderson,"https://m.media-amazon.com/images/M/MV5BZjRlMGQ0NmUtM2U2Ny00MTk3LTg5NjAtN2M3Y2JmZjllNjJlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia."
800,Red Tails,world war ii fighter pilot fighter plane,Bryan Cranston David Oyelowo Cuba Gooding Jr. Daniela Ruah Terrence Howard,Anthony Hemingway,"https://m.media-amazon.com/images/M/MV5BNDQ5MTg2NzI4OF5BMl5BanBnXkFtZTcwMDM2NzQzNg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard."
801,The Devil's Advocate,child abuse southern usa obsession subway nudity,Keanu Reeves Al Pacino Charlize Theron Jeffrey Jones Judith Ivey,Taylor Hackford,"https://m.media-amazon.com/images/M/MV5BM2M2MDJhMDgtMmJkYy00MTgzLTkyZTktODM5NzE1MWUyNDA4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR3,0,182,268_AL__QL50.jpg",An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.
802,That's My Boy,deadbeat dad cheating fianc\u00e9e teacher student sex brother sister incest,Adam Sandler Susan Sarandon Eva Amurri Martino Leighton Meester Andy Samberg,Sean Anders,"https://m.media-amazon.com/images/M/MV5BMTM3NDMyNzgzMV5BMl5BanBnXkFtZTcwMjIyMTA1Nw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","While in his teens, Donny fathered a son, Todd, and raised him as a single parent until Todd's 18th birthday. Now Donny resurfaces just before Todd's wedding after years apart, sending the groom-to-be's world crashing down."
803,DragonHeart,magic kingdom despot immortality village,Dennis Quaid David Thewlis Pete Postlethwaite Dina Meyer Julie Christie,Rob Cohen,"https://m.media-amazon.com/images/M/MV5BNzI2NGUzYzAtY2Y1MS00NzhjLWFiYzItODgwM2RlN2M5ZjA4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality."
804,After the Sunset,bahamas master thief crook couple,Pierce Brosnan Salma Hayek Woody Harrelson Troy Garity Russell Hornsby,Brett Ratner,"https://m.media-amazon.com/images/M/MV5BN2YyMmE1MTUtNTg2OS00ZWRiLWFhZTQtZDViM2MyOGJhZDY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The story of what happens after a master thief achieves his last big score, when the F.B.I. Agent who promised he'd capture him, is about to do just that."
805,Ghost Rider: Spirit of Vengeance,monk eastern europe skeleton biker marvel comic,Nicolas Cage Ciar\u00e1n Hinds Violante Placido Fergus Riordan Johnny Whitworth,Brian Taylor,"https://m.media-amazon.com/images/M/MV5BMTkwNDM5MDEzOF5BMl5BanBnXkFtZTcwNDEyNTUxNw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him."
806,Captain Corelli's Mandolin,officer greek island mandolin italian soldier resistance fighter,Nicolas Cage Pen\u00e9lope Cruz John Hurt Christian Bale Irene Papas,John Madden,"https://m.media-amazon.com/images/M/MV5BMjEwMzE5ODcyMF5BMl5BanBnXkFtZTcwODQ1NjEyMQ@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","When a fisherman leaves to fight with the Greek army during World War II, his fiancée falls in love with the local Italian commander."
807,The Pacifier,bodybuilder children body guard scientist family,Vin Diesel Lauren Graham Faith Ford Chris Potter Brittany Snow,Adam Shankman,"https://m.media-amazon.com/images/M/MV5BMTE5MTcxOTQxNl5BMl5BanBnXkFtZTYwMzk3Nzg2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Having recovered from wounds received in a failed rescue operation, Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house."
808,Walking Tall,casino sheriff home violence special forces,Dwayne Johnson Johnny Knoxville Neal McDonough Kristen Wilson Cobie Smulders,Kevin Bray,"https://m.media-amazon.com/images/M/MV5BMTM0MjYzNzM1N15BMl5BanBnXkFtZTcwMDcwNDc3NA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house."
809,Forrest Gump,vietnam veteran hippie mentally disabled running based on novel,Tom Hanks Robin Wright Gary Sinise Mykelti Williamson Sally Field,Robert Zemeckis,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
810,Alvin and the Chipmunks,pop pop star record producer surprise approach,Jason Lee David Cross Cameron Richardson Jane Lynch Justin Long,Tim Hill,"https://m.media-amazon.com/images/M/MV5BMjdmNWY4MjItMjBiMi00MWNiLWI0ZjctYzBjZmEzOGRmNTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Three musical chipmunks are discovered by an aspiring songwriter and wants to become famous by using their amazing singing abilities.
811,Meet the Parents,cia airport cat jew orderly,Ben Stiller Robert De Niro Teri Polo Blythe Danner Owen Wilson,Jay Roach,"https://m.media-amazon.com/images/M/MV5BMGNlMGZiMmUtZjU0NC00MWU4LWI0YTgtYzdlNGVhZGU4NWZlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
812,Pocahontas,culture clash settler forbidden love colony musical,Irene Bedard Mel Gibson David Ogden Stiers John Kassir Russell Means,Mike Gabriel,"https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
813,Superman,saving the world journalist dc comics crime fighter nuclear missile,Christopher Reeve Marlon Brando Margot Kidder Gene Hackman Ned Beatty,Richard Donner,"https://m.media-amazon.com/images/M/MV5BMzA0YWMwMTUtMTVhNC00NjRkLWE2ZTgtOWEzNjJhYzNiMTlkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero."
814,The Nutty Professor,overweight overweight man duringcreditsstinger,Eddie Murphy Jada Pinkett Smith James Coburn Larry Miller Dave Chappelle,Tom Shadyac,"https://m.media-amazon.com/images/M/MV5BMTcwODlmZDktNWRkOC00NTFlLTkyMjQtYWUxMzZkNDE4MGVmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.
815,Hitch,speed date romantic comedy dating,Will Smith Eva Mendes Kevin James Amber Valletta Julie Ann Emery,Andy Tennant,"https://m.media-amazon.com/images/M/MV5BNzYyNzM2NzM2NF5BMl5BanBnXkFtZTcwNjg5NTQzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","While helping his latest client woo the woman of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten."
816,George of the Jungle,africa san francisco gorilla lion feral child,Brendan Fraser Leslie Mann Thomas Haden Church John Cleese Richard Roundtree,Sam Weisman,"https://m.media-amazon.com/images/M/MV5BNTdiM2VjYjYtZjEwNS00ZWU5LWFkZGYtZGYxMDcwMzY1OTEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",A man raised in the jungle by apes falls in love with a wealthy American heiress.
817,American Wedding,handcuffs sister sister relationship spanner blow job stag night,Jason Biggs Alyson Hannigan Seann William Scott Eddie Kaye Thomas Thomas Ian Nicholas,Jesse Dylan,"https://m.media-amazon.com/images/M/MV5BMTAwNTIzNDk1MDVeQTJeQWpwZ15BbWU3MDMwNzAwMDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister."
818,Captain Phillips,ship hijacking somalia fisherman blood,Tom Hanks Catherine Keener Max Martini Chris Mulkey Yul Vazquez,Paul Greengrass,"https://m.media-amazon.com/images/M/MV5BODhiZWRhMjctNDUyMS00NmUwLTgwYmItMjJhOWNkZWQ3ZTQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
819,Date Night,date corruption taxi expensive restaurant wife husband relationship,Tina Fey Steve Carell Mark Wahlberg Taraji P. Henson Jimmi Simpson,Shawn Levy,"https://m.media-amazon.com/images/M/MV5BODgwMjM2ODE4M15BMl5BanBnXkFtZTcwMTU2MDcyMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous."
820,Casper,halloween friendship supernatural afterlife friends,Christina Ricci Bill Pullman Cathy Moriarty Eric Idle Joe Nipote,Brad Silberling,"https://m.media-amazon.com/images/M/MV5BZThhYTlhMDUtMDhjZi00MTljLTkwMDYtOGU3ZjVlMWE4NDk4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR5,0,182,268_AL__QL50.jpg",An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
821,The Equalizer,corruption assassin hostage fbi hitman,Denzel Washington Marton Csokas Chlo\u00eb Grace Moretz David Harbour Haley Bennett,Antoine Fuqua,"https://m.media-amazon.com/images/M/MV5BMTQ2MzE2NTk0NF5BMl5BanBnXkFtZTgwOTM3NTk1MjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her."
822,Maid in Manhattan,hotel politician mistaken identity maid class differences,Jennifer Lopez Ralph Fiennes Natasha Richardson Stanley Tucci Tyler Posey,Wayne Wang,"https://m.media-amazon.com/images/M/MV5BMTczODg2ODI2M15BMl5BanBnXkFtZTYwODIxMDg5._V1_UY268_CR1,0,182,268_AL__QL50.jpg","A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress."
823,Crimson Tide,submarine mutiny russia missile nuclear missile,Denzel Washington Gene Hackman Matt Craven George Dzundza Viggo Mortensen,Tony Scott,"https://m.media-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so."
824,The Pursuit of Happyness,san francisco single parent homeless person bus worker,Will Smith Jaden Smith Thandie Newton Brian Howe James Karen,Gabriele Muccino,"https://m.media-amazon.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
825,Flightplan,berlin loss of father airplane baby-snatching,Jodie Foster Peter Sarsgaard Sean Bean Kate Beahan Michael Irby,Robert Schwentke,"https://m.media-amazon.com/images/M/MV5BNGJkYTNiZjUtOTBhMi00NjY5LTkwZWEtNjBkNmE1YTZlMDc4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane."
826,Disclosure,employee workplace sexual harassment intrigue,Michael Douglas Demi Moore Donald Sutherland Dylan Baker Jacqueline Kim,Barry Levinson,"https://m.media-amazon.com/images/M/MV5BYzhkNjE2YTQtYWQzNS00ZTkwLTg4YzAtNjNlYTRlMGEzYjcxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life."
827,City of Angels,suicide angel life and death desperation operation,Nicolas Cage Meg Ryan Andre Braugher Dennis Franz Colm Feore,Brad Silberling,"https://m.media-amazon.com/images/M/MV5BZjk2OTEwNDEtNjVhYi00MzI3LWFhNzctZGUzOWMxMDMwZjJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","An angel on Earth, a doctor unable to believe, a patient with a secret, a love story made in Heaven."
828,Kill Bill: Vol. 1,japan coma martial arts kung fu underworld,Uma Thurman Lucy Liu Vivica A. Fox Daryl Hannah David Carradine,Quentin Tarantino,"https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
829,Bowfinger,film producer film director movie studio hollywood filmmaking,Steve Martin Eddie Murphy Heather Graham Christine Baranski Jamie Kennedy,Frank Oz,"https://m.media-amazon.com/images/M/MV5BYTJlNzcyMjctOGE5Mi00MzU4LWI1MzUtOGZiYzZlMzYxZmFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","When a desperate movie producer fails to get a major star for his bargain basement film, he decides to shoot the film secretly around him."
830,Kill Bill: Vol. 2,brother brother relationship swordplay katana mother role rage and hate,Uma Thurman David Carradine Daryl Hannah Michael Madsen Gordon Liu Chia-Hui,Quentin Tarantino,"https://m.media-amazon.com/images/M/MV5BNmFiYmJmN2QtNWQwMi00MzliLThiOWMtZjQxNGRhZTQ1MjgyXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
831,Tango & Cash,prisoner war on drugs los angeles,Sylvester Stallone Kurt Russell Teri Hatcher Jack Palance Brion James,Andrei Konchalovsky,"https://m.media-amazon.com/images/M/MV5BMjUyYTNmMDQtZjgwYy00NWFmLWIwZDItODg5NjQ1OTM5ODc2XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","Mario Suarez is a forty-something tango artist, whose wife Laura has left him. He leaves his apartment and starts preparing a film about tango."
832,Death Becomes Her,jealousy beauty immortality rivalry potion,Meryl Streep Bruce Willis Goldie Hawn Isabella Rossellini Ian Ogilvy,Robert Zemeckis,"https://m.media-amazon.com/images/M/MV5BNzM2YjIwMzgtZTg4Yy00NmJlLWIzOTYtYTQ0Zjc3NjIyZDcyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When a woman learns of an immortality treatment, she sees it as a way to outdo her long-time rival."
833,Shanghai Noon,princess sioux travel rescue native american,Jackie Chan Owen Wilson Lucy Liu Xander Berkeley Roger Yuan,Tom Dey,"https://m.media-amazon.com/images/M/MV5BMTI0MjE2MzUwOV5BMl5BanBnXkFtZTYwMTk5NjU3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss."
834,Executive Decision,bomb ransom hostage airplane hijacking,Kurt Russell Steven Seagal Halle Berry John Leguizamo Oliver Platt,Stuart Baird,"https://m.media-amazon.com/images/M/MV5BMjgwNzA4MjQtMTQwOC00OWY0LTkwOGYtNWQxYTQ3ZmEzZjY5L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UY268_CR5,0,182,268_AL__QL50.jpg","When terrorists seize control of an airliner, an intelligence analyst accompanies a commando unit for a midair boarding operation."
835,Mr. Popper's Penguins,taxi restaurant zoo penguin ex husband,Jim Carrey Carla Gugino Madeline Carroll Angela Lansbury Ophelia Lovibond,Mark Waters,"https://m.media-amazon.com/images/M/MV5BMTcwMDI4NjEyOF5BMl5BanBnXkFtZTcwNzg5MzEwNQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The life of a businessman begins to change after he inherits six penguins, and as he transforms his apartment into a winter wonderland, his professional side starts to unravel."
836,The Forbidden Kingdom,tempel shaolin teenager urination staff,Jackie Chan Jet Li Michael Angarano Liu Yifei Li Bingbing,Rob Minkoff,"https://m.media-amazon.com/images/M/MV5BMTUwNTExMTg3NF5BMl5BanBnXkFtZTcwNDYyMTM2MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A discovery made by a kung fu obsessed American teen sends him on an adventure to China, where he joins up with a band of martial arts warriors in order to free the imprisoned Monkey King."
837,Free Birds,holiday thanksgiving freedom duringcreditsstinger 3d,Owen Wilson Woody Harrelson Amy Poehler George Takei Colm Meaney,Jimmy Hayward,"https://m.media-amazon.com/images/M/MV5BNjE0NjIwMzAwOF5BMl5BanBnXkFtZTgwOTIyMzMzMDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history, and get Turkeys off the Thanksgiving menu for good."
838,Alien³,prison android spacecraft space marine imprisonment,Sigourney Weaver Charles S. Dutton Charles Dance Pete Postlethwaite Ralph Brown,David Fincher,"https://m.media-amazon.com/images/M/MV5BYTNiYmQzNTctNzAyZC00ODY2LWE3ZjgtODU1NDA0NGI5ZDY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor."
839,Evita,prostitute deification dancehall hostess per\u00f3nism argentine president,Madonna Antonio Banderas Jonathan Pryce Jimmy Nail Victoria Sus,Alan Parker,"https://m.media-amazon.com/images/M/MV5BMDNhZGZiMzYtNzkxNy00MGE0LWE4Y2QtOGIwOTM3ZmY5M2QwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The hit musical based on the life of Evita Duarte, a B-picture Argentinian actress who eventually became the wife of Argentinian president Juan Perón, and the most beloved and hated woman in Argentina."
840,Ronin,paris france arms deal audi impostor,Robert De Niro Jean Reno Natascha McElhone Stellan Skarsg\u00e5rd Sean Bean,John Frankenheimer,"https://m.media-amazon.com/images/M/MV5BOWVkYzliZGEtODIxMi00MDQwLThjMDAtNzI3M2NjYjg4NDE5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.
841,The Ghost and the Darkness,africa lion bridge based on true story kenya,Michael Douglas Val Kilmer Tom Wilkinson John Kani Emily Mortimer,Stephen Hopkins,"https://m.media-amazon.com/images/M/MV5BNWQ4NDRiMWItNGI5Yi00N2U1LTlkMGQtM2VjMzdkZTU0YzYyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A bridge engineer and an experienced old hunter begin a hunt for two lions after they start attacking local construction workers.
842,Paddington,england train station based on novel bear anthropomorphism,Nicole Kidman Peter Capaldi Ben Whishaw Michael Gambon Imelda Staunton,Paul King,"https://m.media-amazon.com/images/M/MV5BMTAxOTMwOTkwNDZeQTJeQWpwZ15BbWU4MDEyMTI1NjMx._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven."
843,The Watch,usa sterility castration marriage friendship,Ben Stiller Vince Vaughn Jonah Hill Richard Ayoade Rosemarie DeWitt,Akiva Schaffer,"https://m.media-amazon.com/images/M/MV5BMjU5MzI1NTk1MV5BMl5BanBnXkFtZTcwMzk5NzY5Nw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion.
844,The Hunted,hunter fbi knife balkan war woods,Tommy Lee Jones Benicio del Toro Connie Nielsen Leslie Stefanson John Finn,William Friedkin,"https://m.media-amazon.com/images/M/MV5BMTI0MjI4ODg2NV5BMl5BanBnXkFtZTcwMzI0NjgyMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An FBI deep-woods tracker attempts to capture a trained assassin who has made a sport of hunting humans.
845,Instinct,prison gorilla research instinct murder,Anthony Hopkins Cuba Gooding Jr. Donald Sutherland Maura Tierney George Dzundza,Jon Turteltaub,"https://m.media-amazon.com/images/M/MV5BMmVjMjA2YjMtM2M5MS00NDU3LWJjM2EtNzBhMzYzNjNlMTNiXkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","A former CIA operative (Cumming), who has since built a ""normal"" life as a gifted professor and writer, is pulled back into his old life when the NYPD needs his help to stop a serial killer on the loose."
846,Stuck on You,sex dancer martial arts cook stripper,Matt Damon Greg Kinnear Eva Mendes Wen Yann Shih Seymour Cassel,Bobby Farrelly,"https://m.media-amazon.com/images/M/MV5BMTYwODE1MTc3NF5BMl5BanBnXkFtZTcwMjQxMzQyMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Conjoined twins from Martha's Vineyard move to Los Angeles so that one of them can pursue an acting career.
847,Semi-Pro,sport basketball flint michigan nba merger,Will Ferrell Maura Tierney Woody Harrelson David Koechner Will Arnett,Kent Alterman,"https://m.media-amazon.com/images/M/MV5BMTc1MjQ4NTc3M15BMl5BanBnXkFtZTcwMTc3NTg1MQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true."
848,The Pirates! In an Adventure with Scientists!,rivalry stop motion pirate aftercreditsstinger duringcreditsstinger,Hugh Grant Brendan Gleeson Jeremy Piven Brian Blessed Salma Hayek,Peter Lord,"https://m.media-amazon.com/images/M/MV5BNDhkOGZkZWMtNGI4Mi00ZWI3LTgyYTgtMDU4ZDI3NTNjMWFiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Pirate Captain sets out on a mission to defeat his rivals Black Bellamy and Cutlass Liz for the Pirate of the year Award. The quest takes Captain and his crew from the shores of Blood Island to the foggy streets of Victorian London.
849,Changeling,corruption mother nudity minister power,Angelina Jolie Jeffrey Donovan John Malkovich Geoff Pierson Amy Ryan,Clint Eastwood,"https://m.media-amazon.com/images/M/MV5BOTA1Mzg3NjIxNV5BMl5BanBnXkFtZTcwNzU2NTc5MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A grief-stricken mother takes on the LAPD to her own detriment when it tries to pass off an obvious impostor as her missing child.
850,Chain Reaction,fbi hydrogen bomb secret lab energy supply conspiracy,Keanu Reeves Morgan Freeman Rachel Weisz Fred Ward Kevin Dunn,Andrew Davis,"https://m.media-amazon.com/images/M/MV5BMTY5YTdhODktMWUwMC00MDE1LWI1NmUtZWUyYzU3M2NiNWY2XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A reporter finds what appears to be a cover-up of safety hazards at a nuclear power plant.
